Tarih;Ömerli;Darlik;Elmali;Terkos;B.çekmece;Sazlidere;Alibey;Kazandere;Pabuçdere
8.03.2011;1,58;2,47;1,21;1,63;2,21;4,68;1,13;2,04;4,73
9.03.2011;2;2,74;1;2,3;2,5;3,31;3,8;23,42;13,92
10.03.2011;8,35;10,96;1;2,5;2;4,64;3,84;3,4;3,5
11.03.2011;4,05;3,65;2,14;2,43;0,6;1,66;10,05;1,02;1,04
12.03.2011;0;0;0;0;0;0;0;0;0
13.03.2011;0;0;0;0;0;0;0;0;0
14.03.2011;0;0;0;0;0;0;0;0;0
15.03.2011;0;0;0;0;0;0;0;0;0
16.03.2011;0;0;0;0;0;0;0;0;0
17.03.2011;0;0;0;0;0;0;0;0;0
18.03.2011;0;0,51;0,8;0,54;0,73;0,5;0,59;0,5;0,51
19.03.2011;11,08;8,73;6,99;5,82;2,71;12,31;4,35;10,93;12,46
20.03.2011;0;0,08;1,76;1,04;1,7;1,97;0,19;3,25;3,01
21.03.2011;1;2,87;1,71;4,92;0;1,97;4,5;5,57;6,64
22.03.2011;0;2,85;0,3;1,65;0,14;0;0,6;0;0
23.03.2011;0;0;0;0;0;0;0;0;0
24.03.2011;0;0;0;0;0;0;0;0;0
25.03.2011;0;0;0;0;0;0;0;0;0
26.03.2011;0;0;0;0;0;0;0;0;0
27.03.2011;0;0;0;0;0;0;0;0;0
28.03.2011;0,53;1,01;4,1;4,2;1,14;2,4;3,77;0,8;0,8
29.03.2011;0;0;0;0;0;0;0;0;0
30.03.2011;7,05;7,04;4,19;5,03;3,21;2,25;2,54;4,7;3,6
31.03.2011;6,05;7,43;0;5,64;0;0,63;0;1,28;0,7
1.04.2011;0;0;0;0,2;1,02;0,4;0,2;0;0
2.04.2011;1,88;5,81;1,64;7,62;7,72;9,96;6,71;0,54;0,97
3.04.2011;15,53;15,56;16,31;27,24;15,81;23,14;22,39;61,1;67,33
4.04.2011;0,8;1,8;2,08;1,13;0,13;0,1;3;4,6;4,38
5.04.2011;3,18;1,2;0,84;0;0;0;2,1;0;0
6.04.2011;0;1,19;0,73;0,41;0,13;0;0,99;0,46;0,08
7.04.2011;0;0;0;0;0;0;0;0;0
8.04.2011;0;0;0;0;0;0;0;0;0
9.04.2011;1,13;1,5;0,45;0,43;0;0;1,2;0;0
10.04.2011;0,43;0,3;2,11;6,02;1,01;1,87;0,81;0;0
11.04.2011;0;0,4;0;0,44;2,61;0,2;0;0;0
12.04.2011;0;0;0;5,42;0;0,57;2,78;3,7;4,55
13.04.2011;0;0;0;0;0;0;0;1;1
14.04.2011;0;0;0;0;0;0;0;0;0
15.04.2011;5,75;3,5;10,32;11,23;12,58;17,87;11,96;14,43;17,66
16.04.2011;0;0;0;0;0;0;0;0;0
17.04.2011;0;0;0;0;0;0;0;0;0
18.04.2011;16,35;15,97;9,05;8,62;9,41;8,06;9,08;2,27;2,93
19.04.2011;6,55;12,97;8,95;14,43;15,71;17,96;17,44;13,8;16,37
20.04.2011;0;0,49;0,7;3,33;0,91;0,35;0,18;6,2;6,02
21.04.2011;5,85;6,48;4,75;2,5;1,9;2,01;2,56;1,08;1,12
22.04.2011;0;0;0;0;0;0;0;0;0
23.04.2011;0;0;0;0;0;0;0;0;0
24.04.2011;0;0;0;0;0;0;0;0;0
25.04.2011;0;0;0;0;0;0;0;0;0
26.04.2011;0;0;0;0;0;0;0;0;0
27.04.2011;0;0;0;0;0;0;0;0;0
28.04.2011;5,78;6,98;9,71;10,93;8,93;8,8;8,67;9,02;10,94
29.04.2011;0;0;0;0;0;0;0;1,06;1,52
30.04.2011;0;0;0;0;0;0;0;0;0
1.05.2011;0;0;0;0;0;0;0;0;0
2.05.2011;0;0;2,61;0,35;1,4;0,92;0,88;0,77;0,91
3.05.2011;0;0;0;0;0;0;0;8,15;5,65
4.05.2011;1,58;3,58;7,45;5,51;3,11;4,87;2,88;28;30,25
5.05.2011;8,25;10,36;12,62;11,74;8,43;15,6;19,25;3;1,91
6.05.2011;0;0,44;0;0,53;0,56;0;0;3,08;3,91
7.05.2011;1,33;0,8;0,5;0,35;1,21;0,5;0,42;0;0
8.05.2011;0;0;0;0;0;0;0;0;0
9.05.2011;0;0;0;0;0;0;0;0;0
10.05.2011;0;0;0;0;0;0;0;0;0
11.05.2011;0;0;0;0;0;0;0;1,57;1,6
12.05.2011;0;0;0;0;0;0;0;0;0
13.05.2011;0;0;0;0;0;0;0;0;0
14.05.2011;0;0;0;0;0;0;0;0;0
15.05.2011;0;0;0;0;0;0;0;0;0
16.05.2011;0;0;0;0;0;0;0;0;0
17.05.2011;0;0;0;0;0;0;0;0;0
18.05.2011;0;0;0;0;0;0;0;0;0
19.05.2011;0;0;0;0;0;0;0;0;0
20.05.2011;0;0;0;0;0;0;0;0;0
21.05.2011;0;0;0;0;0;0;0;0;0
22.05.2011;0;0;0;0;0;0;0;0;0
23.05.2011;0;0;0;0;0;0;0;0;0
24.05.2011;0;0;0;0;0;0;0;0;0
25.05.2011;0;0;0;0;0;0;0;0;0
26.05.2011;0;0;0;0;0;0;0;0;0
27.05.2011;0;0;0;0;0;0;0;0;0
28.05.2011;0;0;0;0;0;0;0;0;0
29.05.2011;2,78;1,69;0,67;0;0,13;0;0,22;0,08;0
30.05.2011;0;0;0;0;0;0;0;0;0
31.05.2011;0;0;0;0;0;0;0;0;0
1.06.2011;0;0;0;0;0;0;0;0;0
2.06.2011;0;0;0;0;0;0;0;0;0
3.06.2011;0;0;0;0;0;0;0;0;0
4.06.2011;0;0;0;0;0;0;0;0;0
5.06.2011;0;0;0;0;0;0;0;0;0
6.06.2011;0;0;0;0;0;0;0;0;0
7.06.2011;0;0;0;0;0;0;0;0;0
8.06.2011;0;0;0;0;0;0;0;0;0
9.06.2011;0;0;0;0;0;0;0;0;0
10.06.2011;0;0;0;0;0;0;0;0;0
11.06.2011;5,2;4,1;0,5;1,67;8,63;0,7;0,57;20,08;33,63
12.06.2011;2,2;1,5;9,5;2,97;3,7;0;5,75;0;0
13.06.2011;2,58;1;8,72;0;0;0;0;0;0
14.06.2011;0;0;0;0;0;0;1,1;0;0
15.06.2011;0;0;0;0;14,4;0,48;2,19;0;0
16.06.2011;0;0;0;0;0;0;0;0;0
17.06.2011;5,48;6,85;1,76;0;0;0;1,3;0;0
18.06.2011;0;0;0;0;0;0;0;0;0
19.06.2011;0;0;0;0;0;0;0;0;0
20.06.2011;0;0;0;0;0;0;0;0;0
21.06.2011;0;0;0;0;0;0;0;0;0
22.06.2011;0;0;0;0;0;0;0;0;0
23.06.2011;0;0;0;0;0;0;0;0;0
24.06.2011;0;0;0;0;0;0;0;0;0
25.06.2011;0;0;0;0;0;0;0;0;0
26.06.2011;2;0,3;2,2;1,68;5,23;3,51;2,59;0;0
27.06.2011;0;0;1,14;0,65;0;0;5,22;0;0
28.06.2011;0,8;0,7;1,59;1,68;0,16;0,4;1,6;0;0,7
29.06.2011;0;0;0;4,26;0;0;0;0,9;0,9
30.06.2011;0;0;0;0;0;0;0;0;0
1.07.2011;0;0;0;0;0;0;0;0;0
2.07.2011;1,85;2,69;11,58;18,72;8,45;4,64;3,1;22,5;23,6
3.07.2011;0;0;0;0;0;0;0;0;0
4.07.2011;0;0;0;0;0;0;0;0;0
5.07.2011;0;0;0;0;0;0;0;0;0
6.07.2011;0;0;0;0;0;0;0;0;0
7.07.2011;0;0;0;0;0;0;0;0;0
8.07.2011;0;0;0;0;0;0;0;0;0
9.07.2011;0;0,57;0;1,57;0;0;0;0;0
10.07.2011;0;0;0;0;0;0;0;0;0
11.07.2011;0;0;0;0;0;0;0;0;0
12.07.2011;0;0;0;0;0;0;0;0;0
13.07.2011;0;0;0;0;0;0;0;0;0
14.07.2011;0;0;0;0;0;0;0;1;1,6
15.07.2011;0;0;0;0;0;0;0;0;0
16.07.2011;0;0;0;0;0;0;0;0;0
17.07.2011;0;0;0;0;0;0;0;0;0
18.07.2011;0;0;0;0;0;0;0;0;0
19.07.2011;0;0;0;0;0;0;0;0;0
20.07.2011;0;0;0;0;0;0;0;0;0
21.07.2011;0;0;0;0;0;0;0;0;0
22.07.2011;0;0;0;0;0;0;0;0;0
23.07.2011;0;0;0;0;0;0;0;0;0
24.07.2011;0;0;0;0;0;0;0;0;0
25.07.2011;0;0;0;0;0;0;0;0;0
26.07.2011;0;0;0;0;0;0;0;0;0
27.07.2011;0;0;0;0;0;0;0;18,83;0
28.07.2011;0;0;0;0;0;0;0;0;0
29.07.2011;0;0;0;0;0;0;0;0;0
30.07.2011;0;0;0;0;0;0;0;0;0
31.07.2011;0;0;0;0;0;0;0;0;0
1.08.2011;0;0;0;0;0;0;0;0;0
2.08.2011;0;0;0;0;0;0;0;0;0
3.08.2011;0;0;0;0;0;0;0;0;0
4.08.2011;0;0;0;0;0;0;0;0;0
5.08.2011;0;0;0;0;0;0;0;0;0
6.08.2011;0;0;0;0;0;0;0;0;0
7.08.2011;0;0;0;0;0;0;0;0;0
8.08.2011;0;0;0;0;0;0;0;0;0
9.08.2011;0;0;0;0;0;0;0;0;0
10.08.2011;0;0;0;0;0;0;0;0;0
11.08.2011;0;0;0;0;0;0,6;9,1;6;10,8
12.08.2011;15,02;12,84;20,85;26,58;17,7;37,4;24,45;4;4,91
13.08.2011;0;2,26;0;0;0;0;0;0;0
14.08.2011;0;0;0;0;0;0;0;0;0
15.08.2011;0;0;0;0;0;0;0;0;0
16.08.2011;0;0;0;0;0;0;0;0;0
17.08.2011;0;0;0;0;0;0;0;0;0
18.08.2011;0;0;0;0;0;0;0;0;0
19.08.2011;0;0;0;0;0;0;0;0;0
20.08.2011;0;0;0;0;0;0;0;0;0
21.08.2011;0;0;0;0;0;0;0;0;0
22.08.2011;0;0;0;0;0;0;0;0;0
23.08.2011;0;0;0;0;0;0;0;0;0
24.08.2011;0;0;0;0;0;0;0;0;0
25.08.2011;0;0;0;0;0;0;0;0;0
26.08.2011;0;0;0;0;0;0;0;0;0
27.08.2011;0;0;0;0;0;0;0;0;0
28.08.2011;0;0;0;0;0;0;0;0;0
29.08.2011;0;0;0;0;0;0;0;0;0
30.08.2011;0;0;0;0;0;0;0;0;0
31.08.2011;0;0;0;0;0;0;0;0;0
1.09.2011;0;0;0;0;0;0;0;0;0
2.09.2011;0;0;0;0;0;0;0;0;0
3.09.2011;0;0;0;0;0;0;0;0;0
4.09.2011;0;0;0;0;0;0;0;0;0
5.09.2011;0;0;0;0;0;0;0;0;0
6.09.2011;0;0;0;0;0;0;0;0;0
7.09.2011;0;0;0;0;0;0;0;0;0
8.09.2011;0;0;0;0;0;0;0;0;0
9.09.2011;0;0;0;0;0;0;0;0;0
10.09.2011;0;0;0;0;0;0;0;0;0
11.09.2011;0;0;0;0;0;0;0;0;0
12.09.2011;0;0;0;0;0;0;0;0;0
13.09.2011;0;0;0;0;0;0;0;0;0
14.09.2011;0;0;0;0;0;0;0;0;0
15.09.2011;0;0;0;0;0;0;0;0;0
16.09.2011;0;0;0;0;0;0;0;0;0
17.09.2011;0;0;0;0;0;0;0;0;0
18.09.2011;0;0;0;0;0;0;0;0;0
19.09.2011;0;0;0;0;0;0;0;0;0
20.09.2011;0;0;0;0;0;0;0;0;0
21.09.2011;0;0;0;0;0;0;0;0;0
22.09.2011;2,56;2,48;2,14;4,77;7,29;4,69;5,87;51,2;52,04
23.09.2011;0;0;0;0;0;0;0;0;0
24.09.2011;0;0;0;0;0;0;0;0;0
25.09.2011;0;0;0;0;0;0;0;0;0
26.09.2011;0;0;0;0;0;0;0;0;0
27.09.2011;0;0;0;0;0;0;0;0;0
28.09.2011;0;0;0;0;0;0;0;0;0
29.09.2011;0;0;0;0;0;0;0;0;0
30.09.2011;3,5;2,88;8,6;8,56;4,6;2,63;7,04;4,5;5,63
1.10.2011;0;1,22;11,17;0;0,71;1,13;18,15;0;0
2.10.2011;0;0;0;0;0;0;0;0;0
3.10.2011;0;0;0;0;0;0;0;0;0
4.10.2011;0;0;0;0;0;0;0;0;0
5.10.2011;0;0;0;0;0;0;0;0;0
6.10.2011;0;0;0;0;0;0;0;0;0
7.10.2011;0;0;0;0;0;0;0;0;0
8.10.2011;0;0;0;0;0;0;0;0;0
9.10.2011;0;0;1,33;1,5;1,97;1,61;2,07;3,3;3,39
10.10.2011;18;16;15,99;64,8;33,35;31,86;28,47;31;31,52
11.10.2011;20;21;23,36;131,28;25,93;23,01;19,05;170,2;171,08
12.10.2011;0;0;0;0,96;0;0;0;0;0
13.10.2011;0;0;0;0;0;0;0;0;0
14.10.2011;2,8;2,6;6,02;12,96;3,9;2,64;7,4;10,2;24,3
15.10.2011;3,2;3,1;6,62;8,13;2,15;2,09;5,71;11,2;12,96
16.10.2011;15,5;17;14,45;15,43;4,91;8,21;9,57;9;8,89
17.10.2011;9;10;15,81;13,73;4,91;8,1;9,49;10,01;11,46
18.10.2011;4,5;4;6,09;1,84;2,1;5,62;6,51;28,3;34,5
19.10.2011;1;1,2;2,4;2,76;1,93;3,35;1,37;6,4;6,59
20.10.2011;0;0;0;0;0;0;0;0;0
21.10.2011;0;0;0;0;0;0;0;0;0
22.10.2011;0;0;0;0;0;0;0;0;0
23.10.2011;0;0;0;0;0;0;0;0;0
24.10.2011;0;0;0;0;0;0;0;0;0
25.10.2011;0;0;0;0;0;0;0;0;0
26.10.2011;0;0;0;0;0;0;0;1,07;2,34
27.10.2011;0;0;0;0;0;0;0;0;0
28.10.2011;0;0;0;0;0;0;0;0;0
29.10.2011;0;0;0;0;0;0;0;0;0
30.10.2011;0;0;0;0;0;0;0;0;0
31.10.2011;0;0;0;0;0;0;0;0;0
1.11.2011;0;0;0;0;0;0;0;0;0
2.11.2011;0;0;0;0;0;0;0;0;0
3.11.2011;0;0;1,15;0;1,04;2,08;0;2,98;3,04
4.11.2011;0;0;3,53;1,58;2,34;8,01;1,44;0,56;0,84
5.11.2011;0;0;0;0;0;0;0;0;0
6.11.2011;0;0;0;0;0;0;0;0;0,02
7.11.2011;0;0;0;0;0;0;0;0;0
8.11.2011;0;0;0;0;0;0;0;0;0
9.11.2011;0;0;0;0;0;0;0;0;0
10.11.2011;0;0;0;0;0;0;0;0;0
11.11.2011;1,8;3,4;1,02;0,85;0,13;0,49;1,7;0,57;1,13
12.11.2011;4,1;4,27;5,1;4,53;1,83;3,9;6,4;1,1;5,38
13.11.2011;3,4;3,9;3;1,85;2,51;3,6;1,8;3,42;4,24
14.11.2011;3,5;3,94;2,78;1,85;0;1,25;1,2;6,5;11,48
15.11.2011;0;0;0,1;0,78;1,22;2,86;0,17;0,54;2,21
16.11.2011;2,46;3,1;5,28;0;0;0;0;1,26;0,95
17.11.2011;3,9;2,3;3,93;10,95;5,12;6,92;2,7;1,5;2,93
18.11.2011;2,5;2,7;2,49;0,96;0,43;1,47;1,3;1,5;2,16
19.11.2011;0;0;0;0;0;0;0;0;0
20.11.2011;0;0;0;0;0;0;0;0;0
21.11.2011;0;0;0;0;0;0;0;0;0
22.11.2011;0;0;0;0;0;0;0;0;0
23.11.2011;0;0;0;0;0;0;0;0;0
24.11.2011;0;0;1,54;0,63;0,5;0,67;1,6;0,65;0,59
25.11.2011;0;0;0;0;0;0;0;0,65;4,29
26.11.2011;0;0;0;0;0;0;0;0;0
27.11.2011;0;0;0;0;0;0;0;0;0
28.11.2011;0;0;0;0;0;0;0;0;0
29.11.2011;0;0;0;0;0;0;0;0;0
30.11.2011;0;0;0;0;0;0;0;0;0
1.12.2011;0;0;0;0;0;0;0;0;0
2.12.2011;0;0;0;0;0;0;0;0;0
3.12.2011;0;0;0;0;0;0;0;0;0
4.12.2011;0;0;0;0;0;0;0;0;0
5.12.2011;0;0;0;0;0;0;0;0;0
6.12.2011;0;0;0;0;0;0;0;0;0
7.12.2011;4,2;7,54;3,64;13,84;3,52;5,81;6,2;25;24,03
8.12.2011;25;21;20,4;10,33;6,04;11,38;12;12,5;13,5
9.12.2011;2;1,11;3;1,02;2,21;1,43;2,1;0,5;0,62
10.12.2011;0;0;0;0;0;0;0;0;0
11.12.2011;0;0;0;0;0;0;0;0;0
12.12.2011;0;0;0;0;0;0;0;0;0
13.12.2011;0;0;0;0;0;0;0;0;0
14.12.2011;0;0;0;0;0;0;0;0;0
15.12.2011;0;0;0;0;0;0;0;0;0
16.12.2011;0;0;0;0;0;0;0;0;0
17.12.2011;3,5;3,54;6,63;6,42;8,85;2,96;5,6;7,8;7,91
18.12.2011;7;7,11;7,46;6,82;3,22;2,26;6,58;1;3,38
19.12.2011;8,2;8,13;7,23;16,16;13,73;13,36;11,23;18;18,05
20.12.2011;4,7;5,82;1,68;9,72;7,8;5,43;3,99;15,63;17,86
21.12.2011;7,8;8,13;8,58;17,65;17,52;15,65;8,08;7,5;7,6
22.12.2011;0;0;2;0;1,4;0;0;2,3;2,41
23.12.2011;17,4;20,15;0,66;6,21;1,89;1,31;2,15;69,45;79,47
24.12.2011;28,14;31,6;23,39;13,22;13,6;29,53;15,56;22,41;24,01
25.12.2011;11;13;1,66;0;0;0;0;0;0
26.12.2011;0;0;0;0;0;0;0;0;0
27.12.2011;0;0;0;0;0;0;0;0;0
28.12.2011;0;0;0;0;0;0;0;0;0
29.12.2011;0;0;0;0;0;0;0;0;0
30.12.2011;0;0;0;0;0;0;0;0;0
31.12.2011;0;0;0;0;0;0;0;0;0
1.01.2012;9,15;10,01;6,99;19,43;8,24;9,46;12,5;11,7;11,84
2.01.2012;1,5;1,19;0,4;0;0;0,4;0,6;0;0
3.01.2012;0;0;0;0;0;0;0;0;0
4.01.2012;0;0;0;0;0;0;0;0;0
5.01.2012;0;0;0;0;0;0;0;0;0
6.01.2012;0;0;0;0;0;0;0;0;0
7.01.2012;0;0;3,8;2,5;1,9;1,6;2,2;3;3
8.01.2012;12;14;11,12;16,63;9,91;10,1;21,5;7,4;7,35
9.01.2012;10,2;9,9;6,05;7,31;2,5;2,47;7,5;1,8;1,71
10.01.2012;0,5;0;1,45;3,61;1,53;1,82;0;0;0
11.01.2012;8,5;8,51;6,37;0,7;0,5;2,19;4,5;0,6;0,69
12.01.2012;6;5,4;7,61;0;2,21;4,8;10,06;0,35;0,2
13.01.2012;0;0;0;0;0;0;0;0;0
14.01.2012;0;0;0;0;0;0;0;0;0
15.01.2012;6,98;7,14;9,55;7,31;6,85;6,52;8,64;1,1;1,1
16.01.2012;0;0;0;0;0;0;0;0;0
17.01.2012;7,5;9,85;13,6;3,3;3,2;2;3,1;0;0
18.01.2012;0;0;0;0;0;0;0;0;0
19.01.2012;0;3,34;0,5;0;0;0;0;0;0
20.01.2012;0;0;0;0;0;0;0;0;0
21.01.2012;1;0,83;2,36;1,11;2,79;0,68;1,7;0;0
22.01.2012;4;3,54;6,89;2,43;4,64;4,98;6,38;4,1;3,33
23.01.2012;0;0;0;0;0;0;0;0;0
24.01.2012;0;0;0;0;0;0;0;0;0
25.01.2012;1,5;0,83;2,47;0;0,31;0,35;1,44;0,66;0,08
26.01.2012;4,8;5;4,52;11,8;12,64;7,91;4,27;22;25,33
27.01.2012;3,5;6,5;1,86;3,55;1,92;3,12;1,75;18;18,53
28.01.2012;10,8;13,86;1,5;0;2,7;0;7,1;0;0
29.01.2012;2;3,73;6,5;0;0;3;2,9;0;3,91
30.01.2012;2;2,5;1;4,9;1,2;0,89;4,5;0,53;0,39
31.01.2012;4,2;4,53;1,94;3;2,5;2,41;5,27;0;0
1.02.2012;2;4,53;1,5;0;4,8;0;7,71;0;0
2.02.2012;1;1,82;1,73;0;0,74;0,58;6,43;0;1,71
3.02.2012;0;0;0;0;0;2,78;5,64;6,7;24,15
4.02.2012;0;0;0;0;0;0;0;0;0
5.02.2012;0;0;0;0;0;0;0;0;0
6.02.2012;0;0;0;0;0;0;0;0;0
7.02.2012;2,4;2,03;6,68;14,91;11,35;9,71;8,44;18,75;19
8.02.2012;15,7;28,6;12,7;23,82;12,02;25,06;19,85;46,2;49,7
9.02.2012;3,5;4,03;2;0;0,65;2,61;3,8;5;5,32
10.02.2012;0;4,64;0;7,08;0,44;3,49;6,07;0;0
11.02.2012;4,5;6,94;5,23;6,8;0,31;3,44;9,04;0;0
12.02.2012;0;0;0;0;0;0;0;0;0
13.02.2012;0;0;0;0;0;0;0;0;0
14.02.2012;5,25;7,74;6,69;8,11;9,32;8,4;6,58;13,5;13,7
15.02.2012;7,5;12,48;9,75;10,9;10,67;9,41;4,99;10;10,5
16.02.2012;3;3,42;3,9;2,93;1,5;1,47;6,73;4,7;4,98
17.02.2012;3;5;3,08;1,02;2,31;4;2;0,96;0
18.02.2012;0;2;0;0;0;0;1,6;0;0
19.02.2012;0;0;0;0;0;0;0;0;0
20.02.2012;0;0;0;0;0;0;0;0;0
21.02.2012;0;0;0;0;0;0;0;0;0
22.02.2012;0;0;0;0;0;0;0;0;0
23.02.2012;0;0;0;0;0;0;0;0;0
24.02.2012;0;0;0;0;0;0;0;0;0
25.02.2012;0;0;0;0;0;0;0;0;0
26.02.2012;0;0;0;0;0;0;0;0;0
27.02.2012;4,1;4,24;4,31;8,71;4,79;3,55;4,9;2,7;2,8
28.02.2012;35;34,69;17,7;13,52;13,06;18,87;18,4;11,5;12,5
29.02.2012;2,5;3,43;1,64;2,83;1;2,52;6,17;0;0
1.03.2012;2,78;3,5;0,51;0,61;4,8;0;2,2;0;0
2.03.2012;0,95;1,72;0,5;0;0,52;0;1,41;0;0
3.03.2012;0;0;0,4;1,63;1,12;0,58;0,42;0;0
4.03.2012;6,5;8,13;2,88;5,12;2,08;3,92;1,82;5;5
5.03.2012;0;0;0;0;0;0;0;0;0
6.03.2012;0;0;0;0;0;0;0;0;0
7.03.2012;0;0;0;0;0;0;0;0;0
8.03.2012;0;0;0;0;0;0;0;0;0
9.03.2012;0;0;0;0;0;0;0;0;0
10.03.2012;0;0;0;0;0;0;0;0;0
11.03.2012;0;0;0;0;0;0;0;0;0
12.03.2012;8,6;9,32;9,34;19,73;10,52;10,92;11,49;12,45;13,3
13.03.2012;12;13,34;7,2;12;7,06;8,68;9,5;17,6;17,6
14.03.2012;0;0;0;0;0;0;0;0;0
15.03.2012;0;0;0;0;0,63;0;0,16;0;0
16.03.2012;7,55;8,24;2,58;3,13;1,75;2,26;1,22;2,08;2,2
17.03.2012;0;0;0;0;0;0;0;0;0
18.03.2012;0;0;0;0;0;0;0;0;0
19.03.2012;0;0;0;0;0;0;0;0;0
20.03.2012;0;0;0;0;0;0;0;0;0
21.03.2012;0;0;0;0;0;0;0;0;0
22.03.2012;0;0;0;0;0;0;0;0;0
23.03.2012;0;0;0;0;0;0;0;0;0
24.03.2012;0;0;0;0;0;0;0;0;0
25.03.2012;0;0;0;0;0;0;0;0;0
26.03.2012;0;0;0;0;0;0;0;0;0
27.03.2012;0;0;0;0;0;0;0;0;0
28.03.2012;0;0;0;0;0;0;0;0;0
29.03.2012;0;0;0;0;0;0;0;0;0
30.03.2012;0;0;0;0;0;0;0;0;0
31.03.2012;17,3;15,2;16,27;6,13;6,47;11,27;14,33;0;0
1.04.2012;0;0;0;0;0;0;0;0;0
2.04.2012;20;22,19;17,61;25,04;15,13;14,08;11,63;22,5;23
3.04.2012;0;0;0;0;0;0;0;0;0
4.04.2012;0;0;0;0;0;0;0;0;0
5.04.2012;0;0;0;0;0;0;0;0;0
6.04.2012;0;0;0;0;0;0;0;0;0
7.04.2012;0;0;0;0;0;0;0;0;0
8.04.2012;0;0;0;0;0;0;0;0;0
9.04.2012;9;8,75;9,09;14,12;6,48;10,38;12,04;25;30
10.04.2012;9,5;11,24;10,01;8,53;11;6,76;6,7;0;0
